"Device Details","Price","Ratings"
"APPLE iPhone SE (White, 128 GB)","?34,999","1,14,415"
"APPLE iPhone SE (Black, 128 GB)","?34,999","1,14,415"
"APPLE iPhone SE (Red, 64 GB)","?32,999","1,14,415"
"APPLE iPhone SE (Black, 64 GB)","?32,999","1,14,415"
"APPLE iPhone SE (Red, 128 GB)","?34,999","1,14,415"
"APPLE iPhone SE (White, 64 GB)","?32,999","1,14,415"
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","?32,999","1,14,415"
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)","?32,999","1,14,415"
"APPLE iPhone 7 Plus (Black, 32 GB)","?36,999","29,710"
"APPLE iPhone 6 (Gold, 32 GB)","?30,780","1,45,540"
